Transaction_ID,Transaction_Amount,Merchant_Category,Device_Type,Location_Region,Login_Attempts,Is_International,Customer_Age,Account_Age_Days,Is_Fraud
TXN00000,15.875381904288902,Grocery,Mobile-Android,South America,2,0,37,880,0
TXN00001,302.75173491175735,Electronics,Desktop,North America,1,0,44,1599,0
TXN00002,115.39637283130315,Electronics,Desktop,Europe,0,0,32,620,0
TXN00003,257.08370536416214,Travel,Mobile-Android,Europe,1,0,50,3146,0
TXN00004,763.2472423590175,Gaming,Mobile-iOS,Asia,0,0,57,3489,1
TXN00005,154.65285537790442,Gaming,Mobile-iOS,Africa,0,0,42,347,0
TXN00006,139.0781245029786,Electronics,Mobile-iOS,South America,0,0,45,1642,0
TXN00007,14.955729663444359,Fashion,Desktop,South America,0,0,72,29,0
TXN00008,62.514928901054134,Gaming,Mobile-iOS,Europe,0,0,31,2351,0
TXN00009,138.58244196377044,Electronics,Tablet,South America,0,0,47,1974,0
TXN00010,227.406182295841,Electronics,Desktop,North America,0,0,38,1927,0
TXN00011,325.66201137920945,Dining,Desktop,Africa,0,0,58,1187,0
TXN00012,95.91098217953319,Gaming,Mobile-iOS,Africa,0,0,69,3447,0
TXN00013,13.642138402226255,Electronics,Desktop,Africa,0,0,27,970,0
TXN00014,67.97637637837857,Travel,Mobile-iOS,North America,0,0,59,1737,0
TXN00015,480.6878836249813,Grocery,Mobile-Android,South America,0,0,24,3116,0
TXN00016,48.0033598498404,Dining,Desktop,North America,1,0,24,289,0
TXN00017,120.3412450638887,Electronics,Desktop,Africa,0,0,78,3370,0
TXN00018,535.3278066701517,Grocery,Mobile-iOS,South America,1,0,70,1701,0
TXN00019,5.0428913933145765,Dining,Tablet,Asia,0,0,23,1802,0
TXN00020,183.53279359834477,Travel,Mobile-Android,Africa,0,1,32,1078,1
TXN00021,599.6651283401972,Fashion,Mobile-Android,North America,0,0,21,3389,0
TXN00022,52.35163817888865,Dining,Mobile-iOS,Africa,0,0,60,3606,0
TXN00023,159.03151582017628,Grocery,Tablet,Asia,1,0,67,1839,0
TXN00024,479.6614962997497,Fashion,Mobile-iOS,South America,0,0,43,2074,0
TXN00025,28.582352094200715,Fashion,Desktop,Africa,0,0,70,814,0
TXN00026,148.22082227592583,Gaming,Tablet,Africa,0,0,42,229,0
TXN00027,277.5870285749012,Fashion,Tablet,North America,0,0,72,3607,0
TXN00028,221.13538141512734,Travel,Desktop,Africa,2,1,43,1457,0
TXN00029,126.12946963171936,Travel,Tablet,Asia,0,1,21,2933,0
TXN00030,45.84467176344494,Gaming,Mobile-Android,South America,1,0,76,3335,0
TXN00031,134.9694850652567,Gaming,Mobile-iOS,South America,0,0,70,1572,0
TXN00032,93.1655725844387,Travel,Desktop,North America,0,0,52,3479,0
TXN00033,129.7882271434818,Grocery,Desktop,Asia,1,0,35,3369,0
TXN00034,91.10668927973032,Travel,Tablet,Africa,0,0,57,3585,0
TXN00035,363.9305727724515,Gaming,Tablet,Asia,0,1,31,3372,0
TXN00036,292.76255714592213,Dining,Mobile-Android,South America,2,0,67,1695,0
TXN00037,75.3739784242277,Gaming,Tablet,South America,0,0,71,102,0
TXN00038,170.01884187301445,Fashion,Mobile-iOS,Africa,1,0,20,1575,0
TXN00039,64.60632704088411,Travel,Desktop,South America,0,1,69,2265,0
TXN00040,120.60387487054226,Electronics,Desktop,Europe,0,0,42,1369,0
TXN00041,87.07510951018266,Grocery,Mobile-iOS,South America,2,0,55,2931,0
TXN00042,214.23802500498476,Fashion,Mobile-iOS,Europe,1,0,58,3237,0
TXN00043,92.51857790318698,Fashion,Desktop,South America,0,0,35,1474,0
TXN00044,122.90157558427617,Fashion,Tablet,North America,1,0,37,3093,0
TXN00045,254.11094725653209,Fashion,Desktop,Africa,0,0,50,2188,0
TXN00046,106.54330790259768,Gaming,Desktop,Africa,1,0,28,718,0
TXN00047,473.7947057176683,Grocery,Mobile-iOS,Asia,0,0,57,84,0
TXN00048,39.800369114074755,Electronics,Tablet,Asia,0,1,25,3537,0
TXN00049,270.27725828361787,Gaming,Tablet,South America,0,0,73,2003,0
TXN00050,109.76575082445066,Fashion,Mobile-Android,South America,0,1,67,2280,1
TXN00051,111.18327826949516,Travel,Mobile-Android,Europe,0,0,57,820,0
TXN00052,201.23207540125682,Fashion,Desktop,South America,1,0,36,2547,0
TXN00053,148.00843277583155,Grocery,Desktop,Asia,0,0,41,397,0
TXN00054,107.18970841839585,Gaming,Tablet,Asia,1,0,40,2803,0
TXN00055,0.2855799052473024,Gaming,Mobile-Android,Africa,0,0,77,986,0
TXN00056,19.359973854466528,Electronics,Mobile-iOS,Africa,2,0,58,269,0
TXN00057,247.15764719292827,Dining,Mobile-Android,Asia,0,0,21,3302,0
TXN00058,148.6127464144796,Fashion,Desktop,South America,0,0,19,3600,0
TXN00059,238.25111148982137,Dining,Mobile-iOS,Africa,0,0,56,451,0
TXN00060,622.3109000837719,Gaming,Desktop,South America,1,0,18,1410,0
TXN00061,229.7163578528028,Fashion,Mobile-iOS,Asia,0,0,37,3005,0
TXN00062,10.918417606483304,Gaming,Mobile-Android,South America,0,0,40,2603,0
TXN00063,73.88045734237615,Electronics,Mobile-Android,Asia,1,0,63,1694,0
TXN00064,179.58934696621841,Electronics,Desktop,South America,1,0,27,510,0
TXN00065,53.60737053026151,Dining,Tablet,Asia,0,0,47,1684,0
TXN00066,670.3157951794834,Travel,Tablet,North America,1,0,43,1609,0
TXN00067,580.2598549185864,Fashion,Tablet,North America,0,0,79,2851,0
TXN00068,377.3031232131474,Fashion,Desktop,Europe,0,0,62,1423,0
TXN00069,127.85456259150098,Electronics,Desktop,North America,1,0,72,2607,0
TXN00070,368.37075745930366,Travel,Mobile-iOS,North America,1,0,29,535,0
TXN00071,28.107896656371885,Fashion,Mobile-Android,South America,2,0,77,218,0
TXN00072,73.84601683592399,Gaming,Tablet,South America,0,0,57,1175,0
TXN00073,124.35009393991454,Dining,Tablet,Asia,0,1,70,2171,0
TXN00074,270.84072479114025,Travel,Tablet,South America,0,0,61,3090,0
TXN00075,133.03840987084268,Travel,Mobile-iOS,Africa,2,0,34,891,0
TXN00076,29.43941020731951,Fashion,Tablet,Africa,1,0,37,2612,0
TXN00077,84.17764598028961,Fashion,Mobile-Android,Europe,1,0,26,2327,0
TXN00078,78.4385660504631,Gaming,Desktop,North America,0,0,34,1557,0
TXN00079,71.45471156246566,Fashion,Mobile-iOS,Asia,0,0,19,1129,0
TXN00080,36.184842818221426,Fashion,Mobile-Android,Asia,0,0,46,2105,0
TXN00081,107.19510714288315,Electronics,Mobile-Android,North America,1,0,55,2280,0
TXN00082,118.88516780602664,Electronics,Tablet,North America,0,0,45,1068,0
TXN00083,298.24244012266917,Fashion,Mobile-iOS,Africa,0,0,67,1655,0
TXN00084,318.3104642785488,Electronics,Desktop,Asia,0,0,30,1143,0
TXN00085,147.7922094207982,Grocery,Mobile-iOS,South America,0,0,35,3254,0
TXN00086,123.47080725341873,Travel,Mobile-Android,North America,1,0,50,2394,0
